PC NO	Номер	Название	PART NAME	QTY	TC ТипИзделия	
1	БЛ8.109.130	Угольник	BL8.109.130/001	2	Part	
2	БЛ8.185.844	Стенка	BL8.185.844/001	1	Part	
3	БЛ8.614.089	Стенка	BL8.614.089/001	2	Part	
4	БЛ8.671.311	Ручка	BL8.671.311/001	2	Part	
5	БЛ8.939.351	Гайка анкерная	BL8.939.351/001	8	Part	
7	Стандартные изделия	Винт_ГОСТ_17475-80_М3х16	VINT_M3X16_GOST_17475-80/001	8	Standart item	
8	Стандартные изделия	Заклепка ГОСТ 10300-80 М2,5х8	ZAKLEPKA_2,5_8_GOST_10300-80/001	16	Standart item	
9	Стандартные изделия	Заклепка ГОСТ 10300-80 М3х8	ZAKLEPKA_3_8_GOST_10300-80/001	16	Standart item	
